+-------------------------------------------------------------------+-------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------+
| ID                                                                | Name                                                  | Description                                                                                                                                                                                                                                                                                                                                                                                                      | Parent                                                            |
+-------------------------------------------------------------------+-------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------+
| arcanearchives:amphora                                            | [Ceci n'est pas un seau]                              | Craft a Radiant Amphora for easy fluid transfer with tanks.                                                                                                                                                                                                                                                                                                                                                      | arcanearchives:tank                                               |
| arcanearchives:bonfire                                            | [Hoarders]                                            | Sort your items quickly! With ... fire?                                                                                                                                                                                                                                                                                                                                                                          | arcanearchives:gemcutters_table                                   |
| arcanearchives:chest                                              | [Iridescent Storage]                                  | Use raw quartz to convert boring chests into something bigger & beautifuler.                                                                                                                                                                                                                                                                                                                                     | arcanearchives:raw_quartz                                         |
| arcanearchives:containment_field                                  | [Uncontainable]                                       | Craft a Containment Field as a Tank's second upgrade.                                                                                                                                                                                                                                                                                                                                                            | arcanearchives:scepter_manipulation                               |
| arcanearchives:devouring_charm                                    | [Open Wide, Say Aah]                                  | Construct a method of easily disposing of your items. The Nether don't mind.                                                                                                                                                                                                                                                                                                                                     | arcanearchives:scepter_manipulation                               |
| arcanearchives:gemcutters_table                                   | [Romancing the Stones]                                | Construct a Gem Cutter's Table to increase your crafting options.                                                                                                                                                                                                                                                                                                                                                | arcanearchives:raw_quartz                                         |
| arcanearchives:guidebook                                          | [Tome of Arcana]                                      | Obtain or craft a Tome of Arcana and learn the secrets of the Magistocracy.                                                                                                                                                                                                                                                                                                                                      | arcanearchives:root                                               |
| arcanearchives:lectern                                            | [Fancy]                                               | Craft a Manifest Lectern for centralised indexing.                                                                                                                                                                                                                                                                                                                                                               | arcanearchives:manifest                                           |
| arcanearchives:manifest                                           | [Manifestly So]                                       | Craft a Menifest to remotely peruse your network in a Gem Cutter's Table.                                                                                                                                                                                                                                                                                                                                        | arcanearchives:gemcutters_table                                   |
| arcanearchives:material_interface                                 | [Materialism]                                         | Craft a Material Interface for the Trove's second upgrade.                                                                                                                                                                                                                                                                                                                                                       | arcanearchives:scepter_manipulation                               |
| arcanearchives:matrix_brace                                       | [Embracement]                                         | Craft a Matrix Brace for the Trove & Tank's first upgrade.                                                                                                                                                                                                                                                                                                                                                       | arcanearchives:scepter_manipulation                               |
| arcanearchives:monitoring_crystal                                 | [Big Brother]                                         | Craft a Monitoring Crystal to track items in other inventories.                                                                                                                                                                                                                                                                                                                                                  | arcanearchives:gemcutters_table                                   |
| arcanearchives:network                                            | [One with the Hive]                                   | Craft a Letter of Invitation to allow people to join your network.                                                                                                                                                                                                                                                                                                                                               | arcanearchives:gemcutters_table                                   |
| arcanearchives:raw_quartz                                         | [Crystal Feeling]                                     | Obtain your first raw quartz.                                                                                                                                                                                                                                                                                                                                                                                    | arcanearchives:resonator                                          |
| arcanearchives:raw_quartz_cluster                                 | [Fanciest]                                            | Obtain a beautiful raw quartz crystal cluster with silk touch.                                                                                                                                                                                                                                                                                                                                                   | arcanearchives:raw_quartz                                         |
| arcanearchives:resonator                                          | [Frequency]                                           | Build a Radiant Resonator -- remember to shoo away the cats.                                                                                                                                                                                                                                                                                                                                                     | arcanearchives:root                                               |
| arcanearchives:root                                               | [Arcane Archives]                                     | Start your journey with Arcane Archives.                                                                                                                                                                                                                                                                                                                                                                         | -                                                                 |
| arcanearchives:scepter_manipulation                               | [Machiavelli Wannabe]                                 | Craft a Scepter of Manipulation and begin upgrading your devices.                                                                                                                                                                                                                                                                                                                                                | arcanearchives:gemcutters_table                                   |
| arcanearchives:scepter_revelation                                 | [Apocalypse]                                          | Craft a Scepter of Revelation to learn more about everything.                                                                                                                                                                                                                                                                                                                                                    | arcanearchives:raw_quartz                                         |
| arcanearchives:shaped_quartz_block                                | [Fancier]                                             | Craft a block of Shaped Quartz as the Tank & Trove's third upgrade.                                                                                                                                                                                                                                                                                                                                              | arcanearchives:scepter_manipulation                               |
